text,speaker
"Did you not listen to any of the lesson?  I’m a little confused.  So, do you want me to give you guys a chance to look over the directions and try it on your own?  ‘Cause you’re not – I don’t seem to be able to communicate with you.",teacher
I don’t get this [inaudible],student
That’s because you were fooling around when I was teaching.,teacher
I wasn’t fooling around.,student
I wasn’t watching you.,teacher
"Uh-uh, I was confused about what you were saying so I didn’t do it.",student
"Okay.  So, do you want me to explain it now?",teacher
Yes.,student
Or you just want to continue being confused?,teacher
I want you to explain it.,student
Okay.  So I printed this out for you to read along and we went over the steps.  It said place seven chips – these are the chips – place seven chips on the game board.  So how many do you need?,teacher
Six.  Seven.,student
"And it says one on each track.  These are each track.  So you have to put one on each.  Thank you, Student S.  And it says that it has to be – it can be on any fraction that you want, but it has to be less than three-fourths.  So would you agree he put them all on a fraction that’s less than three-fourths?",teacher
Yes.,student
Excellent.  So now you guys are ready to start.  Now is when – is this your pile of cards?,teacher
Yes.,student
"Okay, you just need one big pile. Okay.  So figure out where it would go.",teacher
Two-fourths is fifty percent.,student
You got one but there’s seven to get.,teacher
Now what?,student
"Take turns.  Sorry, you guys, I wasn’t clear.  So, well, one, I would  like your math notebook out because you’re probably – just like we needed to write some things down, you’re probably going to need to do some work to help make sure that you’re moving the right amount.  Okay?  So a math notebook out to show what you’re doing would be excellent. Not your workbook but your notebook to take notes.  Okay, so let’s practice for a couple rounds.  So you take the top card.  That can be down on the table.  There you go, nine- nines.  Well can you go nine-nines from any of these without going over one?",teacher
No.,student
No ‘cause none of them start on zero.  So you can’t move –,teacher
This one [inaudible],student
"Well now it does but it wasn’t like that.  Let’s leave it where it is so we can try to play the real game.  Okay, Student M, you go.  Take a card.  Okay, you guys did –",teacher
We did separate them but – [inaudible] your cards. She didn’t separate all of her –,student
"Okay, that’s fine.  Take another one.  Seven-tenths.  Okay. Could you find a track to go seven-tenths?",teacher
"Oh, I get it now.",student
Okay.,teacher
[Inaudible],student
"Okay, I will help you.  So is this where you started?  Yes? Okay, looks good.  And I’m a little confused.  What about the green one?",teacher
[inaudible],student
Okay.,teacher
[inaudible],student
That’s okay.  And is this your pile of cards?,teacher
[inaudible],student
Okay.  And you turned around two-fourths.  So there are a few things because two-fourths is equal to quite a lot.  What is two-fourths equal to?,teacher
Fifty percent.,student
"Fifty percent.  So, your goal is –",teacher
Is two the bottom or the top?,student
"Oh, that’s a good question.  Your goal is to move 50 percent anywhere that you want.  So you could move 20 percent in one spot and thirty percent in another.",teacher
If I go here that’s seventy-five percent.,student
"That’s two-fourths, so that would work.",teacher
"So, Teacher?",student
You could do that.,teacher
I keep getting cards that’s above three-fourths.,student
"Okay, I’ll be right with your group.",teacher
"Teacher, when you win, like when do you – when you get up to a whole what do you do?",student
You win that piece.  Your goal is to win as many pieces as possible.,teacher
Oh. So I moved one –,student
You moved one-fourth there then --,teacher
And then I got another one-fourth.,student
You have one-fourth and that’s also equal to something out of ten.,teacher
What?,student
"If you’re going to move one-fourth in one spot you have one- fourth left to go, right, which is equal to what percent?",teacher
Twenty-five percent.,student
Twenty-five percent.  Can you move twenty-five percent on this line?,teacher
No.,student
"No, ‘cause that counts by ten percents, right?",teacher
"I can move it here.  No, I can’t.",student
No.,teacher
"I can move it here.  No, I can’t.",student
"Right, that’s your only option, if you’re going to separate it that way.",teacher
I get it.,student
"Okay.  So now you get to choose one, Student J.  Okay, I’m sorry for the confusion.  Is this – this is where you all – you started all of your pieces, somebody got to one whole?",teacher
Yeah.,student
Yeah?,teacher
"Yeah, she got two to one whole.",student
Oh my goodness.,teacher
She won.,student
"Oh my gosh.  Way to go, Student K.  So, but are you understanding how to play?",teacher
[inaudible],student
Excellent.  So could one of you take out a notebook to show the math that you’re doing?,teacher
[inaudible],student
How are you guys doing?,teacher
We doing good.,student
"Okay, one game board.  You have two game boards out.",teacher
But we don’t know which one is ours if we don’t use two game boards.,student
"Okay, you’re going to have to start over ‘cause you can’t play with two game boards.",teacher
[inaudible],student
"Yes, I was waiting for you to get back.  So just start a fresh round, okay?  Since it looks like that part was little confusing.  So you’re going to use yours?",teacher
Yes.,student
"Excellent.  And so, just make sure you start in the right spot, you know, where the tiles have to go.  Six-eighths if fine.",teacher
[inaudible] like when you get –,student
"You could if you want, yes.  For example, if Student T said that for six-eighths she did one-fourth and she did – she did one-fourth and she did one-half, then you would show six-eighths equals one-fourth plus one-half.",teacher
So what did you do?,student
Are you guys okay?,teacher
"Yeah, we all right.",student
You were just frustrated ‘cause you kept getting bad cards?,teacher
Yeah.,student
Okay.,teacher
Teacher.,student
Okay.  Can you guys not work together?,teacher
He just mad ‘cause I don’t want to work with him.,student
"Okay, I’m sorry that you feel that way.",teacher
He just made ‘cause I won. Nuh-uh [inaudible],student
"Can you not kick each other, please.",teacher
Can I move?,student
I would like you to try to work together.,teacher
"No. Just try, Student M. No [inaudible]",student
Oh bummer.,teacher
[inaudible],student
No.,teacher
Okay.,student
It turns over.  Did you go somewhere else or you just said you couldn’t go?,teacher
I couldn’t go.,student
Oh.  If you guys want to play where you’re working together then you should help each other out with something like that.,teacher
[inaudible],student
Okay.,teacher
Teacher.  She not [inaudible] she don’t know how to play.,student
You guys can play with three people then if she’s going to refuse to play.,teacher
[Inaudible],student
"Oh.  Well that’s refusing.  Why don’t you guys try one more round ‘cause you don’t understand how to play, Student S?",teacher
She don’t know how to play.,student
"I know, but she needs you to help her.",teacher
[inaudible],student
"Okay, this – why doesn’t this work?  Did you read the directions about putting the tiles on the tracks?  Okay. What did it say about the tracks?",teacher
[inaudible],student
If you can hear me clap once. If you can hear me clap twice. Okay.  I apologize because this is a more complicated game –,teacher
Yes.,student
-- and it’s only day one.,teacher
[inaudible],student
"I’ll wait. Can you go back to your seat, Student S.",teacher
All right.,student
"Oh, I meant just where you were for a minute.  So, I want you to know that it’s day one and it’s going to be hard on day one.  I’m trying to think of something that was really hard and then all of a sudden you guys, as you practice you were like ooh, I like this.  Do you remember that happening with anything else in math?  Student S.",teacher
[inaudible],student
Something from the past.  Student K?,teacher
Fractions.,student
"Fractions.  A lot of people start off fractions saying oh, my God, I hate fractions.  And most of you right now seem to be enjoying them.  So it’s something – when something in math is hard it’s something to be aware of, to say I am aware that I’m feeling this way, that it’s frustrating, that it’s hard, but what is going to make it easier?  What made fractions easier?  Student K?",teacher
Practicing.,student
"Practicing.  So as we practice playing the game -- we’re going to get to play tomorrow, too – it’s going to start to get easier. What I do need you to do is to put all of the chips into the bag and all of the cards into the bag.  Look all over the floor and make sure that there aren’t any chips or any cards anywhere.  Please help clean up, Student S.",teacher
She’s not going to do it.,student
"And then zip them and just leave them on your table. Yep, after I see that you guys have cleaned up.  Yes. Because you kept [inaudible] tried to talk to you but –",teacher
What about this?,student
"Just hold on to it.  Excellent job.  Student K and Student K, I can see that you’re ready for lunch.  Excellent job, Student T and Student B for cleaning up. What’s the  problem?",teacher
[inaudible],student
Okay.,teacher
He’s on camera.,student
Just [inaudible] it’s okay.,teacher
[inaudible],student
Yes.  Student K’s going to come around and collect the bags. Make sure all of the chips and the cards are in the bag and then you can return to your seat. Right.  We’re a little late.,teacher
[inaudible],student
"Pretty good. Excellent job, Student N, for showing me that you’re ready. Excellent job, Student S and Student B.",teacher
Teacher?,student
