text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions
No.,student,1,0,,,
"Okay.  So, get ready with your partner.  Face to face each other.  Remember, the start does not count.  You put the start right on the table.  Okay? So start goes right on the table.  Student W, do you want to look at it?",teacher,43,0,,,0.0
Okay.  We need to find one half.,student,7,0,,,
"Sh!    Good, Student A, she has a start right on the table. And they’re about to divide the remaining eight pieces. Which is four and four.",teacher,26,1,0.0,,0.0
[Inaudible],student,1,0,,,
She just said what –,teacher,5,0,,,0.0
[Inaudible],student,1,0,,,
"Exactly.  And I just finished explaining it, Student A.  What do we do when we have nine pieces?",teacher,18,0,,,1.0
Put the start in the middle. The start is nobody.,student,10,0,,0.0,
Start is nobody.  Thank you.,teacher,5,0,1.0,,0.0
I have the start.,student,4,0,,,
Sh!,teacher,1,0,,,0.0
Can we go now?,student,4,0,,,
Okay.  You might have to do a little bit of math to figure out simplest forms or equivalent fractions.,teacher,19,1,,,0.0
Teacher?,student,1,0,,,
Mm-hm?,teacher,1,0,,,0.0
It’s kind of tricky ‘cause –,student,6,0,,,
It is very tricky and if you make a mistake – or you can do this.,teacher,16,0,1.0,,0.0
"Oh, yeah.",student,2,0,,,
Right?,teacher,1,0,,,0.0
Do you have a turn? One third.  Got it.,student,9,0,,0.0,
"Now, what number do you end with?",teacher,7,0,0.0,,0.0
One fifth. Three won’t fit in here. This is one fifth?,student,11,0,,0.0,
No.  What’s one fifth?,teacher,4,0,1.0,,0.0
"Wait, wait.",student,2,0,,,
That’s one fifth.,teacher,3,0,,,0.0
One – one –,student,4,0,,,
Over five.,teacher,2,0,,,0.0
Why won’t it fit?,student,4,0,,,
That’s not it.  So you have to back up.  Find another representation for that one.  One fifth is last.  You have to find another representation.  There’s a few of them that are repetitive.,teacher,33,0,,,0.0
[Inaudible] this is correct?,student,4,0,,,
When you break down two sixths you get one third.,teacher,10,0,,,0.0
"[Yeah, since I asked you] that first to see what she thought and [Inaudible].  I’ve got one fifth and it doesn't go there.",student,23,0,,0.0,
That means you’ve got to back up.  You made a wrong turn.,teacher,12,0,0.0,,0.0
One third.,student,2,0,,,
Yes.  Try doing it that way.  Do we have another representation for one fourth?,teacher,14,0,,,0.0
No.,student,1,0,,,
Are you sure?,teacher,3,0,,,0.0
[Inaudible],student,1,0,,,
Do you have a representation for one fourth?  I am looking at it right now.,teacher,15,0,,,0.0
I gotta [Inaudible]. Do we [Inaudible] teacher?,student,7,0,,,
That’s your end piece.  Keep going.,teacher,6,0,0.0,,0.0
One fourth.  [Inaudible],student,3,0,,,
He’s got it.,teacher,3,0,,,0.0
"Two, one, one.",student,3,0,,,
Uh-huh.  Uh-huh.,teacher,2,0,,,0.0
One fifth.  He don’t have it.  I have it.,student,9,0,,0.0,
You have to back up.  They all work.  I promise.,teacher,10,0,0.0,,0.0
We got like –,student,4,0,,,
I know.  There’s a lot of repetition.,teacher,7,0,,,0.0
That’s three.,student,2,0,,,
Huh?  You’re winning?  Good job.  [Inaudible],teacher,6,0,,,0.0
So it goes this one.  Because there’s no –,student,9,0,,1.0,
You have to back up.   Mm-mm.,teacher,6,0,0.0,,0.0
I don’t got no [Inaudible].,student,5,0,,,
One fourth is not the same as one fifth.,teacher,9,0,0.0,,0.0
"I couldn’t get it. We can’t figure out this one because you said [Inaudible] two, one.",student,16,0,,0.0,
Mm-hm.,teacher,1,0,0.0,,0.0
I don’t have it.,student,4,0,,,
You need to back up.  So we know this goes last.  Right?  I think so far you’re doing okay.  That’s one half.  That’s one fourth.  You need to back up. Do you see how I’m trying to figure out how it goes in?,teacher,43,0,,,0.0
Mm-hm.,student,1,0,,,
"You have to back up and make sure that you place each of them and this is where you end.  Okay?  So, go back and go over it all and see how you can place them.",teacher,36,0,,,0.0
[Inaudible],student,1,0,,,
You won again?,teacher,3,0,,,0.0
This is [Inaudible]?,student,3,0,,,
One fourth is not the same as three sixths.,teacher,9,0,,,0.0
Where is the six?  It’s hard to find.,student,8,0,,0.0,
I know.  How we doing?,teacher,5,0,0.0,,0.0
[Inaudible],student,1,0,,,
"We’re here to help each other, remember?",teacher,7,0,,,0.0
Yes. Go ahead.,student,3,0,,,
Okay.  One more minute.  You guys are doing great.,teacher,9,0,,,0.0
You said to fix it.  She destroyed it all.,student,9,0,,0.0,
So you gotta put it back together.,teacher,7,0,0.0,,0.0
This goes to a third.,student,5,0,,,
Hm?,teacher,1,0,0.0,,0.0
[Inaudible],student,1,0,,,
"No, you got pieces left over.  You gotta fit these in.  You gotta fit these bad boys in.  You’re missing a fourth.",teacher,22,0,,,0.0
A fourth?,student,2,0,,,
"Yeah, you’re missing a fourth.  Yep.",teacher,6,0,,,0.0
[Inaudible],student,1,0,,,
What’s the same thing as three sixths?,teacher,7,0,,,0.0
One half.,student,2,0,,,
One half.  Is that one half?,teacher,6,0,,,0.0
No.,student,1,0,,,
No.,teacher,1,0,,,0.0
One half is this.,student,4,0,,,
Good.  So you need to put that somewhere else.  You have it in the wrong order.,teacher,16,0,,,0.0
Play with it.,student,3,0,,,
Twenty seconds.  You should never be out of your seat. Sit.  You know that already.  No.  Almost.  Okay.  Ten seconds. Finish up your game.  What?,teacher,25,0,,,0.0
We’re stuck on eight.,student,4,0,,,
"Sh!  Too loud.  You have a piece on the floor.  Several pieces on the floor.  All right.  You need to back it up.  You know this is where you start and this is where you end. You need to get everything in between.  So, this belongs in the one fourth.  This belongs somewhere else. Take it off.  Okay.  Time’s up.  All eyes should be on me.",teacher,66,0,,,0.0
Yes.,student,1,0,,,
Good.  What I want you to do is I want you to put the pieces back together.  Paperclip them in.  There we go.  We’re set.  [Inaudible] and I know what to do.    The teacher’s assistants are going to come around to collect the dominoes pieces.  Make sure that they’re ready.,teacher,50,0,,,0.0
Thank you.,student,2,0,,,
For your teacher’s assistants.  Can someone remind me what did we do today?  What did we learn today?  Student L?,teacher,20,0,,,1.0
We learned how to make the fractions smaller.,student,8,1,,0.0,
You learned how to make the fractions smaller. And how do we make   the fractions smaller?  Student J?,teacher,18,2,1.0,,0.0
[Inaudible] number – you find one number that’s [Inaudible].,student,9,0,,0.0,
You find one number that goes into the numerator and the denominator.  Is that what we did today?  Student A?,teacher,20,2,1.0,,0.0
The factors of [Inaudible] numerator and denominator and then we divide – we find two kinds of factors that both [Inaudible] the denominator [Inaudible] and then we divided the numerator and [Inaudible] to find that number and we found [Inaudible] fraction.,student,41,9,,0.0,
Excellent.  Student L?,teacher,3,0,1.0,,0.0
"We found an easier way to break down the fraction by putting like giving, giving or putting the factors and then if this has the same factor number you can already know this right off.  You divide it by that number and then you get your simplest fraction.",student,48,4,,0.0,
Good.  Student J?,teacher,3,0,0.0,,0.0
I learned get when get the factor of the two numbers.,student,11,0,,0.0,
Good.  The numerator and the denominator.  Good.  All right. Can you read our objectives to see if we met our objectives for the day?,teacher,24,2,0.0,,0.0
No. Please. We’ll be able to find the simplest form of the fractions.,student,13,1,,0.0,
Did we do that?,teacher,4,0,0.0,,0.0
Yes.,multiple students,1,0,,,
Good.,teacher,1,0,,,0.0
Students will be able to explain their solutions to a partner.,student,11,1,,0.0,
Did we do that?,teacher,4,0,0.0,,0.0
Yes.,multiple students,1,0,,,
Excellent.  Okay.,teacher,2,0,,,0.0
